Lookout
Dag	P	T	Q
510601	0	10.4	2.23413659279077
510602	0	11.2	2.15574583514899
510603	0	11.15	2.1165504563281
510604	0	8.65	2.03815969868632
510605	0	13.35	1.95976894104454
510606	0	12.3	1.88137818340276
510607	0	12.35	1.80298742576097
510608	0	12.5	1.72459666811919
510609	0	14.8	1.6854012892983
510610	0	15.05	1.6854012892983
510611	0	15.75	1.60701053165652
510612	0	16.45	1.56781515283563
510613	0	19.35	1.56781515283563
510614	0	18.9	1.52861977401474
510615	0	18.35	1.48942439519385
510616	0	15.3	1.45022901637296
510617	0	14.3	1.41103363755207
510618	0	14	1.37183825873118
510619	0	15.05	1.33264287991029
510620	0	16.65	1.29344750108939
510621	0	16.35	1.2542521222685
510622	0	15.6	1.2542521222685
510623	0	16.8	1.21505674344761
510624	0	14.3	1.17586136462672
510625	0	17.15	1.17586136462672
510626	0	16.3	1.13666598580583
510627	0	19.25	1.09747060698494
510628	0	18.5	1.05827522816405
510629	0	20.3	1.05827522816405
510630	0	18.4	1.01907984934316
510701	0	16.6	1.01907984934316
510702	0	17.1	0.979884470522268
510703	0	12.45	0.979884470522268
510704	0	12.75	1.01907984934316
510705	0	12.75	1.01907984934316
510706	0	14.4	0.979884470522268
510707	0	15.6	0.940689091701378
510708	0	15.85	0.901493712880487
510709	0	15	0.901493712880487
510710	0	16.3	0.901493712880487
510711	0	19	0.862298334059596
510712	0	17.9	0.862298334059596
510713	0	17.35	0.823102955238706
510714	0	20.1102971107778	0.823102955238706
510715	0	20.3880748885556	0.823102955238706
510716	0	18.4	0.783907576417815
510717	0	19.1	0.783907576417815
510718	0	17.8	0.783907576417815
510719	0	17.3	0.783907576417815
510720	0	14.8	0.744712197596924
510721	0	16.65	0.705516818776033
510722	0	18	0.705516818776033
510723	0	16.1	0.705516818776033
510724	0	16.75	0.666321439955143
510725	0	16.05	0.666321439955143
510726	0	17.4	0.666321439955143
510727	0	18.65	0.627126061134252
510728	0	16.35	0.627126061134252
510729	0	16.15	0.627126061134252
510730	0	18.2	0.627126061134252
510731	0	17.65	0.627126061134252
510801	0	17.85	0.587930682313361
510802	0	17.1	0.587930682313361
510803	0	19	0.587930682313361
510804	0	16.35	0.587930682313361
510805	0	15.85	0.587930682313361
510806	0	15.85	0.587930682313361
510807	0	16.35	0.587930682313361
510808	0	16.05	0.587930682313361
510809	0	15.8	0.587930682313361
510810	0	16.85	0.54873530349247
510811	0	11.85	0.54873530349247
510812	0	13	0.54873530349247
510813	0	14.85	0.54873530349247
510814	0	17.15	0.50953992467158
510815	0	17.9	0.50953992467158
510816	0	18.15	0.470344545850689
510817	0	17.9	0.470344545850689
510818	0	17.95	0.470344545850689
510819	0	18.5	0.470344545850689
510820	0	19.6	0.431149167029798
510821	0	20.55	0.431149167029798
510822	0	16.05	0.431149167029798
510823	0	12.75	0.431149167029798
510824	0	13.85	0.431149167029798
510825	0	13.1	0.431149167029798
510826	0	14.35	0.431149167029798
510827	0	8.25	0.431149167029798
510828	27.2034	11.2	0.666321439955143
510829	8.32104	9.7	0.744712197596924
510830	0	11.9	0.54873530349247
510831	0	13	0.50953992467158
510901	0	12.5	0.470344545850689
510902	0	14.8	0.431149167029798
