Andrews watershed 1
Date	P	T	Q
510601	0	10.4	0
510602	0	11.2	0
510603	0	11.15	0
510604	0	8.65	0
510605	0	13.35	0
510606	0	12.3	0
510607	0	12.35	0
510608	0	12.5	0
510609	0	14.8	0
510610	0	15.05	0
510611	0	15.75	0
510612	0	16.45	0
510613	0	19.35	0
510614	0	18.9	0
510615	0	18.35	0
510616	0	15.3	0
510617	0	14.3	0
510618	0	14	0
510619	0	15.05	0
510620	0	16.65	0
510621	0	16.35	0
510622	0	15.6	0
510623	0	16.8	0
510624	0	14.3	0
510625	0	17.15	0
510626	0	16.3	0
510627	0	19.25	0
510628	0	18.5	0
510629	0	20.3	0
510630	0	18.4	0
510701	0	16.6	0
510702	0	17.1	0
510703	0	12.45	0
510704	0	12.75	0
510705	0	12.75	0
510706	0	14.4	0
510707	0	15.6	0
510708	0	15.85	0
510709	0	15	0
510710	0	16.3	0
510711	0	19	0
510712	0	17.9	0
510713	0	17.35	0
510714	0	20.1102971107778	0
510715	0	20.3880748885556	0
510716	0	18.4	0
510717	0	19.1	0
510718	0	17.8	0
510719	0	17.3	0
510720	0	14.8	0
510721	0	16.65	0
510722	0	18	0
510723	0	16.1	0
510724	0	16.75	0
510725	0	16.05	0
510726	0	17.4	0
510727	0	18.65	0
510728	0	16.35	0
510729	0	16.15	0
510730	0	18.2	0
510731	0	17.65	0
510801	0	17.85	0
510802	0	17.1	0
510803	0	19	0
510804	0	16.35	0
510805	0	15.85	0
510806	0	15.85	0
510807	0	16.35	0
510808	0	16.05	0
510809	0	15.8	0
510810	0	16.85	0
510811	0	11.85	0
510812	0	13	0
510813	0	14.85	0
510814	0	17.15	0
510815	0	17.9	0
510816	0	18.15	0
510817	0	17.9	0
510818	0	17.95	0
510819	0	18.5	0
510820	0	19.6	0
510821	0	20.55	0
510822	0	16.05	0
510823	0	12.75	0
510824	0	13.85	0
510825	0	13.1	0
510826	0	14.35	0
510827	0	8.25	0
510828	27.2034	11.2	0
510829	8.32104	9.7	0
510830	0	11.9	0
510831	0	13	0
510901	0	12.5	0
510902	0	14.8	0
510903	0	16.6	0
510904	0	16.35	0
510905	0	15.3	0
510906	0	15	0
510907	3.2004	15	0
510908	0	16.1	0
510909	0	14.9	0
510910	0	11.6	0
510911	0	11.7	0
510912	0	15.4	0
